No,Prodi,Pilihan 1,Pilihan 2,Pilihan 3,Jumlah,Rata-rata Nilai Lulusan
1,FARMASI,786,450,0,1236,592.22
2,PENDIDIKAN DOKTER,826,290,0,1116,662.84
3,ILMU HUKUM,729,385,0,1114,533.27
4,MANAJEMEN,561,377,0,938,549.42
5,INFORMATIKA,563,358,0,921,578.90
6,PENDIDIKAN DOKTER GIGI,503,359,0,862,625.39
7,ILMU KEPERAWATAN,498,329,0,827,551.65
8,TEKNIK SIPIL,499,254,0,753,577.73
9,PENDIDIKAN DOKTER HEWAN,435,277,0,712,568.82
10,EKONOMI PEMBANGUNAN,313,300,0,613,532.76
11,ILMU KOMUNIKASI,263,332,0,595,540.47
12,AKUNTANSI,422,168,0,590,562.16
13,TEKNIK KOMPUTER,286,294,0,580,542.78
14,STATISTIKA,258,308,0,566,592.64
15,PENDIDIKAN BIOLOGI,238,310,0,548,528.23
16,AGRIBISNIS,257,256,0,513,529.83
17,PENDIDIKAN GURU SEKOLAH DASAR,255,247,0,502,510.35
18,ARSITEKTUR,276,211,0,487,557.97
19,TEKNIK INDUSTRI,222,206,0,428,564.50
20,PERENCANAAN WILAYAH DAN KOTA,208,216,0,424,558.79
21,PENDIDIKAN MATEMATIKA,179,231,0,410,546.61
22,ILMU PEMERINTAHAN,148,260,0,408,508.61
23,EKONOMI ISLAM,194,213,0,407,525.68
24,AGROTEKNOLOGI,177,227,0,404,525.30
25,SOSIOLOGI,133,266,0,399,511.24
26,PSIKOLOGI,200,194,0,394,550.61
27,Teknik Pertambangan,193,166,0,359,562.88
28,TEKNIK ELEKTRO,198,159,0,357,553.51
29,PENDIDIKAN KESEJAHTERAAN KELUARGA,239,112,0,351,510.74
30,TEKNIK PERTANIAN,132,210,0,342,523.63
31,PENDIDIKAN BAHASA INGGRIS,178,161,0,339,538.61
32,ILMU POLITIK,131,204,0,335,506.74
33,BIMBINGAN KONSELING,133,182,0,315,498.41
34,TEKNOLOGI HASIL PERTANIAN,132,169,0,301,524.49
35,TEKNIK KIMIA,144,152,0,296,565.73
36,TEKNIK MESIN,164,128,0,292,540.20
37,BUDIDAYA PERAIRAN,104,186,0,290,498.77
38,BIOLOGI,117,172,0,289,545.51
39,PENDIDIKAN SEJARAH,120,163,0,283,506.43
40,ILMU KELAUTAN,112,169,0,281,504.67
41,PETERNAKAN,117,158,0,275,506.28
42,PENDIDIKAN EKONOMI,108,150,0,258,505.87
43,TEKNIK GEOFISIKA,116,141,0,257,555.78
44,PENDIDIKAN GEOGRAFI,129,123,0,252,
45,ILMU TANAH,87,158,0,245,512.58
46,PENDIDIKAN GURU PAUD,113,128,0,241,491.76
47,PENDIDIKAN KIMIA,99,140,0,239,525.81
48,PENDIDIKAN FISIKA,98,140,0,238,526.81
49,PENDIDIKAN BAHASA DAN  SASTRA INDONESIA,116,118,0,234,516.97
50,KEHUTANAN,91,133,0,224,511.15
51,PEMANFAATAN SUMBERDAYA PERIKANAN,72,146,0,218,488.53
52,TEKNIK GEOLOGI,82,129,0,211,535.81
53,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,79,131,0,210,496.41
54,KIMIA,65,127,0,192,535.67
55,MATEMATIKA,68,120,0,188,547.29
56,FISIKA,60,112,0,172,528.92
57,PROTEKSI TANAMAN,55,84,0,139,507.54
58,PEND. JASMANI KESEHATAN DAN REKREASI,44,13,0,57,452.66
59,Manajemen (PSDKU GAYO LUES),29,25,0,54,451.21
60,Agroteknologi (PSDKU GAYO LUES),17,25,0,42,452.90
61,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,26,14,0,40,448.62
62,Kehutanan (PSDKU Gayo Lues),23,15,0,38,452.31
63,Pendidikan Biologi  (PDSKU Gayo Lues),13,22,0,35,459.33
,TOTAL,13233,12003,0,25236,
